timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552405260665,252,HTTP Request,200,,Thread Group 1-56,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,201,0,43
1552405260665,201,HTTP Request-0,302,,Thread Group 1-56,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,201,0,43
1552405260866,51,HTTP Request-1,200,,Thread Group 1-56,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405260950,267,HTTP Request,200,,Thread Group 1-57,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,215,0,43
1552405260950,215,HTTP Request-0,302,,Thread Group 1-57,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,215,0,43
1552405261165,52,HTTP Request-1,200,,Thread Group 1-57,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,52,0,0
1552405261241,251,HTTP Request,200,,Thread Group 1-58,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,200,0,43
1552405261241,200,HTTP Request-0,302,,Thread Group 1-58,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,200,0,43
1552405261441,51,HTTP Request-1,200,,Thread Group 1-58,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405261531,250,HTTP Request,200,,Thread Group 1-59,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,199,0,42
1552405261531,199,HTTP Request-0,302,,Thread Group 1-59,,true,,424,262,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/login,199,0,42
1552405261730,51,HTTP Request-1,200,,Thread Group 1-59,text,true,,4914,145,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,51,0,0
1552405261822,244,HTTP Request,200,,Thread Group 1-60,text,true,,5338,407,1,1,http://kthboyz-fairgrounds.herokuapp.com/pub/home,195,0,41
